Published_date,Open,High,Low,Close,Per_change,Traded_quantity,Traded_amount,Status,Date,ema_short,ema_long,ema_diff,ema_cross
2013-07-29,700.0,714.0,700.0,713.0,,12604.0,8939723.0,0,2013-07-29,713.0,713.0,0.0,0
2013-07-30,713.0,739.0,710.0,733.0,2.81,11888.0,8590758.0,0,2013-07-30,717.0,715.1052631578947,1.894736842105317,1
2013-07-31,733.0,743.0,720.0,732.0,-0.14,16045.0,11787525.0,0,2013-07-31,720.0,716.8836565096952,3.1163434903047573,0
2013-08-01,732.0,746.0,722.0,726.0,-0.82,16832.0,12302375.0,0,2013-08-01,721.2,717.8432716139379,3.356728386062173,0
2013-08-04,726.0,730.0,710.0,710.0,-2.2,13593.0,9764636.0,0,2013-08-04,718.96,717.0176640756285,1.9423359243714913,0
2013-08-05,710.0,710.0,690.0,702.0,-1.13,10674.0,7425449.0,0,2013-08-05,715.568,715.4368573308254,0.13114266917455097,0
2013-08-06,702.0,707.0,662.0,700.0,-0.28,10700.0,7376725.0,0,2013-08-06,712.4544,713.8119249802123,-1.3575249802123608,-1
2013-08-07,700.0,707.0,686.0,690.0,-1.43,9805.0,6753569.0,0,2013-08-07,707.96352,711.3054065612426,-3.3418865612426316,0
2013-08-08,690.0,690.0,670.0,670.0,-2.9,21368.0,14503554.0,0,2013-08-08,700.370816,706.9574690284802,-6.586653028480214,0
2013-08-11,670.0,670.0,660.0,663.0,-1.04,6558.0,4354716.0,0,2013-08-11,692.8966528000001,702.3303670254822,-9.433714225482163,0
2013-08-12,663.0,664.0,655.0,657.0,-0.9,5132.0,3383283.0,0,2013-08-12,685.71732224,697.5587494438525,-11.841427203852504,0
2013-08-13,657.0,665.0,650.0,658.0,0.15,4580.0,3018553.0,0,2013-08-13,680.173857792,693.394670555026,-13.220812763025947,0
2013-08-14,658.0,655.0,628.0,628.0,-4.56,10225.0,6616400.0,0,2013-08-14,669.7390862336001,686.5110210229179,-16.77193478931781,0
2013-08-15,628.0,628.0,604.0,614.0,-2.23,10293.0,6374502.0,0,2013-08-15,658.5912689868801,678.8782819678739,-20.287012980993836,0
2013-08-18,614.0,642.0,614.0,638.0,3.91,8933.0,5678281.0,0,2013-08-18,654.4730151895042,674.575304918624,-20.10228972911989,0
2013-08-19,638.0,649.0,632.0,640.0,0.31,4023.0,2567553.0,0,2013-08-19,651.5784121516034,670.9357991377162,-19.35738698611283,0
2013-08-20,640.0,652.0,635.0,647.0,1.09,11568.0,7471614.0,0,2013-08-20,650.6627297212827,668.416241333746,-17.753511612463285,0
2013-08-25,647.0,647.0,638.0,644.0,-0.46,6208.0,3985282.0,0,2013-08-25,649.3301837770261,665.8461106670359,-16.515926890009723,0
2013-08-26,644.0,645.0,628.0,631.0,-2.02,6237.0,3933815.0,0,2013-08-26,645.664147021621,662.1780990178743,-16.51395199625324,0
2013-08-27,631.0,650.0,626.0,640.0,1.43,11433.0,7327615.0,0,2013-08-27,644.5313176172968,659.8435622791507,-15.31224466185381,0
2013-08-29,640.0,645.0,631.0,638.0,-0.31,23136.0,14663564.0,0,2013-08-29,643.2250540938376,657.5442399339769,-14.319185840139312,0
2013-09-01,638.0,638.0,630.0,635.0,-0.47,7678.0,4853161.0,0,2013-09-01,641.5800432750701,655.1711620461899,-13.591118771119795,0
