index,price,type,date,pattern_role,classification,trend_type,point_label
0,732.0,HIGH,2013-07-31,NONE,INVALID,NONE,INVALID
1,584.0,LOW,2013-09-30,NONE,INVALID,NONE,INVALID
2,897.0,HIGH,2013-12-18,NONE,INVALID,NONE,INVALID
3,774.0,LOW,2014-02-06,0,OUT,UPTREND,OUT_UP
4,808.0,HIGH,2014-02-13,1,IN,UPTREND,IN_UP
5,795.0,LOW,2014-02-18,2,IN,UPTREND,IN_UP
6,810.0,HIGH,2014-02-23,3,IN,UPTREND,IN_UP
7,700.0,LOW,2014-03-18,NONE,INVALID,NONE,INVALID
8,991.0,HIGH,2014-07-13,NONE,INVALID,NONE,INVALID
9,726.0,LOW,2014-09-07,0,OUT,UPTREND,OUT_UP
10,785.0,HIGH,2014-10-20,1,IN,UPTREND,IN_UP
11,785.0,LOW,2014-10-22,2,IN,UPTREND,IN_UP
12,822.0,HIGH,2014-10-28,3,IN,UPTREND,IN_UP
13,710.0,LOW,2014-11-18,1,IN,DOWNTREND,IN_DOWN
14,800.0,HIGH,2014-12-14,2,IN,DOWNTREND,IN_DOWN
15,649.0,LOW,2014-12-23,3,IN,DOWNTREND,IN_DOWN
16,705.0,HIGH,2015-02-01,0,OUT,DOWNTREND,OUT_DOWN
17,660.0,LOW,2015-02-24,1,IN,DOWNTREND,IN_DOWN
18,677.0,HIGH,2015-03-11,2,IN,DOWNTREND,IN_DOWN
19,637.0,LOW,2015-03-30,3,IN,DOWNTREND,IN_DOWN
20,660.0,HIGH,2015-04-19,0,OUT,DOWNTREND,OUT_DOWN
21,658.0,LOW,2015-04-21,1,IN,DOWNTREND,IN_DOWN
22,645.0,HIGH,2015-04-22,2,IN,DOWNTREND,IN_DOWN
23,529.0,LOW,2015-05-27,3,IN,DOWNTREND,IN_DOWN
24,665.0,HIGH,2015-06-09,1,IN,UPTREND,IN_UP
25,605.0,LOW,2015-07-05,2,IN,UPTREND,IN_UP
26,993.0,HIGH,2015-10-01,3,IN,UPTREND,IN_UP
27,787.0,LOW,2015-11-29,2,IN,UPTREND,IN_UP
28,1052.0,HIGH,2015-12-21,3,IN,UPTREND,IN_UP
29,700.0,LOW,2016-01-11,NONE,INVALID,NONE,INVALID
30,959.0,HIGH,2016-05-09,NONE,INVALID,NONE,INVALID
31,718.0,LOW,2016-06-05,NONE,INVALID,NONE,INVALID
32,914.0,HIGH,2016-07-27,0,OUT,DOWNTREND,OUT_DOWN
33,805.0,LOW,2016-08-22,1,IN,DOWNTREND,IN_DOWN
34,912.0,HIGH,2016-09-06,2,IN,DOWNTREND,IN_DOWN
35,407.0,LOW,2017-02-14,3,IN,DOWNTREND,IN_DOWN
36,424.0,HIGH,2017-03-20,1,IN,UPTREND,IN_UP
37,432.0,LOW,2017-03-21,2,IN,UPTREND,IN_UP
38,515.0,HIGH,2017-04-11,3,IN,UPTREND,IN_UP
39,427.0,LOW,2017-07-02,NONE,INVALID,NONE,INVALID
40,474.0,HIGH,2017-07-18,0,OUT,DOWNTREND,OUT_DOWN
41,455.0,LOW,2017-08-23,1,IN,DOWNTREND,IN_DOWN
42,465.0,HIGH,2017-08-28,2,IN,DOWNTREND,IN_DOWN
43,340.0,LOW,2017-09-10,3,IN,DOWNTREND,IN_DOWN
44,369.0,HIGH,2017-10-22,NONE,INVALID,NONE,INVALID
45,340.0,LOW,2017-11-08,NONE,INVALID,NONE,INVALID
46,370.0,HIGH,2017-11-30,NONE,INVALID,NONE,INVALID
47,336.0,LOW,2018-01-03,0,OUT,UPTREND,OUT_UP
48,344.0,HIGH,2018-01-31,1,IN,UPTREND,IN_UP
49,347.0,LOW,2018-02-01,2,IN,UPTREND,IN_UP
50,348.0,HIGH,2018-02-05,3,IN,UPTREND,IN_UP
51,342.0,LOW,2018-02-08,NONE,INVALID,NONE,INVALID
52,360.0,HIGH,2018-02-18,NONE,INVALID,NONE,INVALID
53,298.0,LOW,2018-03-26,NONE,INVALID,NONE,INVALID
54,356.0,HIGH,2018-04-22,0,OUT,DOWNTREND,OUT_DOWN
55,306.0,LOW,2018-07-02,1,IN,DOWNTREND,IN_DOWN
56,315.0,HIGH,2018-08-06,2,IN,DOWNTREND,IN_DOWN
57,304.0,LOW,2018-08-12,3,IN,DOWNTREND,IN_DOWN
58,450.0,HIGH,2018-10-21,NONE,INVALID,NONE,INVALID
59,357.0,LOW,2018-12-06,0,OUT,UPTREND,OUT_UP
60,398.0,HIGH,2019-01-16,1,IN,UPTREND,IN_UP
61,370.0,LOW,2019-02-24,2,IN,UPTREND,IN_UP
62,507.0,HIGH,2019-04-25,3,IN,UPTREND,IN_UP
63,443.0,LOW,2019-07-14,1,IN,DOWNTREND,IN_DOWN
64,474.0,HIGH,2019-07-24,2,IN,DOWNTREND,IN_DOWN
65,375.0,LOW,2019-09-26,3,IN,DOWNTREND,IN_DOWN
66,421.0,HIGH,2019-12-15,1,IN,UPTREND,IN_UP
67,408.0,LOW,2019-12-31,2,IN,UPTREND,IN_UP
68,660.0,HIGH,2020-02-27,3,IN,UPTREND,IN_UP
69,468.0,LOW,2020-05-13,0,OUT,UPTREND,OUT_UP
70,627.0,HIGH,2020-07-19,1,IN,UPTREND,IN_UP
71,571.0,LOW,2020-09-30,2,IN,UPTREND,IN_UP
72,697.0,HIGH,2020-11-24,3,IN,UPTREND,IN_UP
73,612.0,LOW,2020-12-09,2,IN,UPTREND,IN_UP
74,963.0,HIGH,2021-02-18,3,IN,UPTREND,IN_UP
75,855.0,LOW,2021-03-15,2,IN,UPTREND,IN_UP
76,979.0,HIGH,2021-04-15,3,IN,UPTREND,IN_UP
77,884.0,LOW,2021-05-09,NONE,INVALID,NONE,INVALID
78,948.0,HIGH,2021-05-23,0,OUT,DOWNTREND,OUT_DOWN
79,918.0,LOW,2021-06-03,1,IN,DOWNTREND,IN_DOWN
80,928.0,HIGH,2021-06-06,2,IN,DOWNTREND,IN_DOWN
81,883.0,LOW,2021-06-21,3,IN,DOWNTREND,IN_DOWN
82,1073.0,HIGH,2021-07-25,NONE,INVALID,NONE,INVALID
83,791.0,LOW,2021-10-19,NONE,INVALID,NONE,INVALID
84,874.0,HIGH,2021-11-01,0,OUT,DOWNTREND,OUT_DOWN
85,824.9,LOW,2021-11-15,1,IN,DOWNTREND,IN_DOWN
86,854.0,HIGH,2021-11-18,2,IN,DOWNTREND,IN_DOWN
87,709.0,LOW,2021-12-13,3,IN,DOWNTREND,IN_DOWN
88,917.0,HIGH,2022-01-20,NONE,INVALID,NONE,INVALID
89,741.9,LOW,2022-04-06,NONE,INVALID,NONE,INVALID
90,808.0,HIGH,2022-05-12,0,OUT,DOWNTREND,OUT_DOWN
91,775.0,LOW,2022-05-25,1,IN,DOWNTREND,IN_DOWN
92,772.0,HIGH,2022-05-27,2,IN,DOWNTREND,IN_DOWN
93,648.0,LOW,2022-07-11,3,IN,DOWNTREND,IN_DOWN
94,731.0,HIGH,2022-07-25,2,IN,DOWNTREND,IN_DOWN
95,603.1,LOW,2022-09-20,3,IN,DOWNTREND,IN_DOWN
96,712.9,HIGH,2022-12-04,1,IN,UPTREND,IN_UP
97,665.0,LOW,2022-12-18,2,IN,UPTREND,IN_UP
98,845.0,HIGH,2023-01-19,3,IN,UPTREND,IN_UP
99,686.0,LOW,2023-03-23,0,OUT,UPTREND,OUT_UP
100,740.7,HIGH,2023-04-19,1,IN,UPTREND,IN_UP
101,690.0,LOW,2023-05-16,2,IN,UPTREND,IN_UP
102,822.0,HIGH,2023-07-23,3,IN,UPTREND,IN_UP
103,770.1,LOW,2023-08-08,NONE,INVALID,NONE,INVALID
104,798.0,HIGH,2023-08-14,0,OUT,DOWNTREND,OUT_DOWN
105,779.0,LOW,2023-08-21,1,IN,DOWNTREND,IN_DOWN
106,794.5,HIGH,2023-08-24,2,IN,DOWNTREND,IN_DOWN
107,775.0,LOW,2023-09-07,3,IN,DOWNTREND,IN_DOWN
108,819.0,HIGH,2023-09-13,0,OUT,DOWNTREND,OUT_DOWN
109,495.0,LOW,2023-11-21,1,IN,DOWNTREND,IN_DOWN
110,545.0,HIGH,2023-12-20,2,IN,DOWNTREND,IN_DOWN
111,346.9,LOW,2024-05-06,3,IN,DOWNTREND,IN_DOWN
112,452.9,HIGH,2024-05-22,1,IN,UPTREND,IN_UP
113,394.1,LOW,2024-06-30,2,IN,UPTREND,IN_UP
114,552.0,HIGH,2024-07-28,3,IN,UPTREND,IN_UP
115,430.2,LOW,2024-09-24,1,IN,DOWNTREND,IN_DOWN
116,498.7,HIGH,2024-10-16,2,IN,DOWNTREND,IN_DOWN
117,353.0,LOW,2025-01-27,3,IN,DOWNTREND,IN_DOWN
118,410.0,HIGH,2025-03-02,0,OUT,DOWNTREND,OUT_DOWN
119,362.76,LOW,2025-03-25,1,IN,DOWNTREND,IN_DOWN
120,383.07,HIGH,2025-04-17,2,IN,DOWNTREND,IN_DOWN
121,337.51,LOW,2025-05-18,3,IN,DOWNTREND,IN_DOWN
122,371.62,HIGH,2025-05-28,2,IN,DOWNTREND,IN_DOWN
123,335.39,LOW,2025-06-24,3,IN,DOWNTREND,IN_DOWN
124,420.05,HIGH,2025-07-16,NONE,INVALID,NONE,INVALID
125,306.4,LOW,2025-11-20,NONE,INVALID,NONE,INVALID
126,334.9,HIGH,2025-11-27,NONE,INVALID,NONE,INVALID
127,316.0,LOW,2025-12-11,0,OUT,UPTREND,OUT_UP
128,326.0,HIGH,2025-12-16,1,IN,UPTREND,IN_UP
129,318.0,LOW,2025-12-23,2,IN,UPTREND,IN_UP
130,356.0,HIGH,2026-01-26,3,IN,UPTREND,IN_UP
131,320.9,LOW,2026-02-11,NONE,INVALID,NONE,INVALID
