Published_date,Open,High,Low,Close,Per_change,Traded_quantity,Traded_amount,Status,Date,ema_short,ema_long,ema_diff,ema_cross
2013-07-29,700.0,714.0,700.0,713.0,,12604.0,8939723.0,0,2013-07-29,713.0,713.0,0.0,0
2013-07-30,713.0,739.0,710.0,733.0,2.81,11888.0,8590758.0,0,2013-07-30,717.4444444444445,715.1052631578947,2.339181286549774,1
2013-07-31,733.0,743.0,720.0,732.0,-0.14,16045.0,11787525.0,0,2013-07-31,720.679012345679,716.8836565096952,3.7953558359837416,0
2013-08-01,732.0,746.0,722.0,726.0,-0.82,16832.0,12302375.0,0,2013-08-01,721.8614540466392,717.8432716139379,4.018182432701337,0
2013-08-04,726.0,730.0,710.0,710.0,-2.2,13593.0,9764636.0,0,2013-08-04,719.2255753696084,717.0176640756285,2.207911293979805,0
2013-08-05,710.0,710.0,690.0,702.0,-1.13,10674.0,7425449.0,0,2013-08-05,715.3976697319176,715.4368573308254,-0.03918759890780166,-1
2013-08-06,702.0,707.0,662.0,700.0,-0.28,10700.0,7376725.0,0,2013-08-06,711.975965347047,713.8119249802123,-1.8359596331653165,0
2013-08-07,700.0,707.0,686.0,690.0,-1.43,9805.0,6753569.0,0,2013-08-07,707.0924174921477,711.3054065612426,-4.212989069094988,0
2013-08-08,690.0,690.0,670.0,670.0,-2.9,21368.0,14503554.0,0,2013-08-08,698.8496580494482,706.9574690284802,-8.107810979032024,0
2013-08-11,670.0,670.0,660.0,663.0,-1.04,6558.0,4354716.0,0,2013-08-11,690.883067371793,702.3303670254822,-11.447299653689242,0
2013-08-12,663.0,664.0,655.0,657.0,-0.9,5132.0,3383283.0,0,2013-08-12,683.3534968447279,697.5587494438525,-14.205252599124606,0
2013-08-13,657.0,665.0,650.0,658.0,0.15,4580.0,3018553.0,0,2013-08-13,677.7193864347884,693.394670555026,-15.67528412023762,0
2013-08-14,658.0,655.0,628.0,628.0,-4.56,10225.0,6616400.0,0,2013-08-14,666.6706338937242,686.5110210229179,-19.840387129193687,0
2013-08-15,628.0,628.0,604.0,614.0,-2.23,10293.0,6374502.0,0,2013-08-15,654.9660485840078,678.8782819678739,-23.912233383866123,0
2013-08-18,614.0,642.0,614.0,638.0,3.91,8933.0,5678281.0,0,2013-08-18,651.1958155653394,674.575304918624,-23.37948935328461,0
2013-08-19,638.0,649.0,632.0,640.0,0.31,4023.0,2567553.0,0,2013-08-19,648.7078565508195,670.9357991377162,-22.22794258689669,0
2013-08-20,640.0,652.0,635.0,647.0,1.09,11568.0,7471614.0,0,2013-08-20,648.3283328728596,668.416241333746,-20.08790846088641,0
2013-08-25,647.0,647.0,638.0,644.0,-0.46,6208.0,3985282.0,0,2013-08-25,647.3664811233352,665.8461106670359,-18.47962954370064,0
2013-08-26,644.0,645.0,628.0,631.0,-2.02,6237.0,3933815.0,0,2013-08-26,643.7294853181496,662.1780990178743,-18.44861369972466,0
2013-08-27,631.0,650.0,626.0,640.0,1.43,11433.0,7327615.0,0,2013-08-27,642.9007108030053,659.8435622791507,-16.942851476145393,0
2013-08-29,640.0,645.0,631.0,638.0,-0.31,23136.0,14663564.0,0,2013-08-29,641.811663957893,657.5442399339769,-15.732575976083922,0
2013-09-01,638.0,638.0,630.0,635.0,-0.47,7678.0,4853161.0,0,2013-09-01,640.297960856139,655.1711620461899,-14.873201190050963,0
2013-09-02,635.0,641.0,626.0,635.0,0.0,10758.0,6836257.0,0,2013-09-02,639.1206362214414,653.0478818308015,-13.92724560936017,0
2013-09-03,635.0,638.0,629.0,630.0,-0.79,20263.0,12768397.0,0,2013-09-03,637.0938281722322,650.6217890065066,-13.527960834274381,0
2013-09-04,630.0,642.0,622.0,625.0,-0.79,3978.0,2486535.0,0,2013-09-04,634.4063108006251,647.924758584769,-13.518447784143973,0
2013-09-05,625.0,625.0,621.0,625.0,0.0,4271.0,2663930.0,0,2013-09-05,632.3160195115972,645.5116261021618,-13.19560659056458,0
2013-09-08,625.0,634.0,620.0,621.0,-0.64,21774.0,13534549.0,0,2013-09-08,629.80134850902,642.9314549335132,-13.130106424493192,0
2013-09-09,621.0,634.0,620.0,633.0,1.93,8818.0,5556509.0,0,2013-09-09,630.51215995146,641.8860386247223,-11.373878673262311,0
2013-09-10,633.0,638.0,620.0,620.0,-2.05,5479.0,3447803.0,0,2013-09-10,628.1761244066911,639.5822450852779,-11.40612067858683,0
2013-09-11,620.0,625.0,616.0,625.0,0.81,8212.0,5103595.0,0,2013-09-11,627.470318982982,638.0472719184065,-10.576952935424515,0
2013-09-12,625.0,622.0,619.0,622.0,-0.48,1797.0,1114701.0,0,2013-09-12,626.2546925423194,636.3580854006796,-10.103392858360166,0
2013-09-15,622.0,623.0,618.0,618.0,-0.64,4941.0,3066631.0,0,2013-09-15,624.4203164218039,634.4256553585028,-10.005338936698877,0
2013-09-16,618.0,617.0,605.0,615.0,-0.49,3632.0,2224259.0,0,2013-09-16,622.3269127725142,632.3808495312919,-10.053936758777695,0
2013-09-17,615.0,614.0,608.0,611.0,-0.65,6735.0,4118403.0,0,2013-09-17,619.8098210452888,630.1302337911559,-10.320412745867088,0
2013-09-19,611.0,610.0,600.0,610.0,-0.16,5987.0,3602338.0,0,2013-09-19,617.6298608130023,628.0112618131395,-10.381401000137203,0
2013-09-22,598.0,598.0,587.0,594.0,-2.62,2361.0,1399735.0,0,2013-09-22,612.3787806323351,624.4311289907038,-12.052348358368704,0
2013-09-23,594.0,596.0,584.0,596.0,0.34,6184.0,3643762.0,0,2013-09-23,608.7390516029272,621.4383785706297,-12.699326967702405,0
2013-09-24,596.0,604.0,597.0,603.0,1.17,5223.0,3139471.0,0,2013-09-24,607.4637068022768,619.4974966158265,-12.033789813549788,0
2013-09-25,603.0,598.0,590.0,598.0,-0.83,3376.0,2008305.0,0,2013-09-25,605.3606608462153,617.2346022352132,-11.873941388997878,0
2013-09-26,598.0,605.0,593.0,594.0,-0.67,2222.0,1322867.0,0,2013-09-26,602.8360695470564,614.7888546315065,-11.95278508445017,0
2013-09-29,594.0,594.0,588.0,593.0,-0.17,5097.0,3009815.0,0,2013-09-29,600.6502763143772,612.4952909860848,-11.845014671707645,0
2013-09-30,593.0,590.0,581.0,584.0,-1.52,2382.0,1395864.0,0,2013-09-30,596.9502149111822,609.4957866717601,-12.5455717605779,0
2013-10-01,584.0,589.0,581.0,584.0,0.0,3171.0,1856604.0,0,2013-10-01,594.072389375364,606.8120196536802,-12.739630278316213,0
2013-10-02,584.0,596.0,579.0,595.0,1.88,1017.0,594448.0,0,2013-10-02,594.2785250697275,605.5686491638191,-11.290124094091652,0
2013-10-03,595.0,595.0,584.0,595.0,0.0,2064.0,1215128.0,0,2013-10-03,594.4388528320103,604.456159778154,-10.017306946143663,0
2013-10-06,595.0,607.0,587.0,607.0,2.02,2617.0,1562656.0,0,2013-10-06,597.2302188693413,604.7239324330851,-7.493713563743768,0
2013-10-07,607.0,646.0,599.0,622.0,2.47,431.0,264381.0,0,2013-10-07,602.7346146761544,606.5424658611814,-3.8078511850270615,0
2013-10-08,622.0,617.0,605.0,615.0,-1.13,1616.0,987970.0,0,2013-10-08,605.4602558592312,607.432732612636,-1.9724767534047487,0
2013-10-09,615.0,615.0,595.0,615.0,0.0,944.0,575065.0,0,2013-10-09,607.5801990016242,608.2292870744637,-0.6490880728395041,0
2013-10-10,615.0,620.0,603.0,620.0,0.81,2612.0,1609031.0,0,2013-10-10,610.3401547790411,609.4683094876781,0.8718452913630017,1
2013-10-17,620.0,647.0,620.0,635.0,2.42,2059.0,1310164.0,0,2013-10-17,615.8201203836986,612.1558558573962,3.664264526302418,0
2013-10-20,635.0,663.0,635.0,660.0,3.94,7738.0,5082452.0,0,2013-10-20,625.6378714095433,617.1920815566177,8.4457898529256,0
2013-10-21,660.0,693.0,652.0,666.0,0.91,9821.0,6676177.0,0,2013-10-21,634.6072333185336,622.329757182237,12.277476136296627,0
2013-10-22,666.0,665.0,645.0,645.0,-3.15,9367.0,6115328.0,0,2013-10-22,636.9167370255261,624.7160985314752,12.200638494050963,0
2013-10-23,645.0,644.0,635.0,640.0,-0.78,3207.0,2053265.0,0,2013-10-23,637.6019065754092,626.3249302650041,11.276976310405075,0
2013-10-24,640.0,641.0,630.0,638.0,-0.31,4392.0,2791280.0,0,2013-10-24,637.6903717808739,627.5538849739511,10.13648680692279,0
2013-10-27,638.0,643.0,610.0,627.0,-1.72,20010.0,12236459.0,0,2013-10-27,635.3147336073464,627.4955812924826,7.8191523148638,0
2013-10-28,627.0,621.0,613.0,620.0,-1.12,4234.0,2613891.0,0,2013-10-28,631.9114594723806,626.7065727353792,5.204886737001402,0
2013-10-29,620.0,640.0,618.0,630.0,1.61,7580.0,4712523.0,0,2013-10-29,631.4866907007404,627.0532492895497,4.433441411190643,0
2013-10-30,630.0,641.0,616.0,641.0,1.75,4278.0,2723268.0,0,2013-10-30,633.6007594339092,628.5213283117024,5.079431122206756,0
2013-10-31,641.0,645.0,622.0,630.0,-1.72,13446.0,8512122.0,0,2013-10-31,632.8005906708182,628.6769779631021,4.12361270771612,0
2013-11-06,630.0,627.0,615.0,627.0,-0.48,1100.0,683804.0,0,2013-11-06,631.5115705217474,628.5004539669861,3.0111165547613155,0
2013-11-07,627.0,655.0,628.0,635.0,1.28,3833.0,2431873.0,0,2013-11-07,632.2867770724703,629.1846167073035,3.10216036516681,0
