prev_2_a,prev_2_b,next,date_prev_2_a,date_prev_2_b,date_next,date_completion,date_prev_2_a_label,date_prev_2_b_label,date_next_label,date_completion_label,next_role,completion_role
IN_UP,IN_UP,OUT_UP,2015-11-29,2015-12-21,2016-08-08,2016-09-06,29 Nov 2015,21 Dec 2015,08 Aug 2016,06 Sep 2016,0,3
OUT_UP,IN_UP,IN_UP,2016-08-08,2016-08-09,2016-08-22,2016-09-06,08 Aug 2016,09 Aug 2016,22 Aug 2016,06 Sep 2016,2,3
IN_UP,IN_UP,IN_UP,2016-08-09,2016-08-22,2016-09-06,2016-09-06,09 Aug 2016,22 Aug 2016,06 Sep 2016,06 Sep 2016,3,3
IN_UP,IN_UP,OUT_UP,2016-08-22,2016-09-06,2017-02-14,2017-04-11,22 Aug 2016,06 Sep 2016,14 Feb 2017,11 Apr 2017,0,3
IN_UP,OUT_UP,IN_UP,2016-09-06,2017-02-14,2017-03-19,2017-04-11,06 Sep 2016,14 Feb 2017,19 Mar 2017,11 Apr 2017,1,3
OUT_UP,IN_UP,IN_UP,2017-02-14,2017-03-19,2017-03-20,2017-04-11,14 Feb 2017,19 Mar 2017,20 Mar 2017,11 Apr 2017,2,3
IN_UP,IN_UP,IN_UP,2017-03-19,2017-03-20,2017-04-11,2017-04-11,19 Mar 2017,20 Mar 2017,11 Apr 2017,11 Apr 2017,3,3
IN_UP,IN_UP,OUT_DOWN,2017-03-20,2017-04-11,2017-07-18,2018-08-12,20 Mar 2017,11 Apr 2017,18 Jul 2017,12 Aug 2018,0,3
OUT_DOWN,IN_DOWN,IN_DOWN,2017-07-18,2017-08-23,2017-08-27,2018-08-12,18 Jul 2017,23 Aug 2017,27 Aug 2017,12 Aug 2018,0,3
IN_DOWN,IN_DOWN,IN_DOWN,2017-08-23,2017-08-27,2017-09-10,2018-08-12,23 Aug 2017,27 Aug 2017,10 Sep 2017,12 Aug 2018,1,3
IN_DOWN,IN_DOWN,IN_DOWN,2017-08-27,2017-09-10,2017-11-30,2018-08-12,27 Aug 2017,10 Sep 2017,30 Nov 2017,12 Aug 2018,2,3
IN_DOWN,IN_DOWN,IN_UP,2017-09-10,2017-11-30,2018-01-03,2018-02-18,10 Sep 2017,30 Nov 2017,03 Jan 2018,18 Feb 2018,0,3
IN_DOWN,IN_UP,IN_UP,2017-11-30,2018-01-03,2018-02-04,2018-02-18,30 Nov 2017,03 Jan 2018,04 Feb 2018,18 Feb 2018,1,3
IN_UP,IN_UP,IN_UP,2018-01-03,2018-02-04,2018-02-07,2018-02-18,03 Jan 2018,04 Feb 2018,07 Feb 2018,18 Feb 2018,2,3
IN_UP,IN_UP,IN_UP,2018-02-04,2018-02-07,2018-02-18,2018-02-18,04 Feb 2018,07 Feb 2018,18 Feb 2018,18 Feb 2018,3,3
IN_UP,IN_UP,OUT_DOWN,2018-02-07,2018-02-18,2018-04-22,2018-08-12,07 Feb 2018,18 Feb 2018,22 Apr 2018,12 Aug 2018,0,3
OUT_DOWN,IN_DOWN,IN_DOWN,2018-04-22,2018-07-02,2018-08-05,2018-08-12,22 Apr 2018,02 Jul 2018,05 Aug 2018,12 Aug 2018,2,3
IN_DOWN,IN_DOWN,IN_DOWN,2018-07-02,2018-08-05,2018-08-12,2018-08-12,02 Jul 2018,05 Aug 2018,12 Aug 2018,12 Aug 2018,3,3
IN_DOWN,IN_DOWN,OUT_UP,2018-08-05,2018-08-12,2018-12-06,2020-02-27,05 Aug 2018,12 Aug 2018,06 Dec 2018,27 Feb 2020,0,3
OUT_UP,IN_UP,IN_UP,2018-12-06,2019-01-16,2019-02-24,2020-02-27,06 Dec 2018,16 Jan 2019,24 Feb 2019,27 Feb 2020,2,3
IN_UP,IN_UP,IN_DOWN,2019-01-16,2019-02-24,2019-04-25,2021-06-21,16 Jan 2019,24 Feb 2019,25 Apr 2019,21 Jun 2021,0,3
IN_UP,IN_DOWN,IN_DOWN,2019-02-24,2019-04-25,2019-07-14,2021-06-21,24 Feb 2019,25 Apr 2019,14 Jul 2019,21 Jun 2021,1,3
IN_DOWN,IN_DOWN,IN_DOWN,2019-04-25,2019-07-14,2019-07-24,2021-06-21,25 Apr 2019,14 Jul 2019,24 Jul 2019,21 Jun 2021,2,3
